X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-1.3957829,50.9081661,Brintons Road 3,"Nitrogen Dioxide Diffusion Tube Operational<br>Automatic Monitoring Station<br><br>12 metres from the kerb<br>Receptor is 12 metres from the kerb<br><br>Grid reference 442,565 - 112,255<br><br>2006 = location established<br>2007 = 34.8 ug/m3 with 66% data capture<br>2008 = 35.8 ug/m3 with 100% data capture<br>2009 = 36.9 ug/m3 with 75% data capture<br>2010 = 30.6 ug/m3 with 100% data capture<br>2011 = 27.9 ug/m3 with 100% data capture<br>2012 = 29.6 ug/m3 with 100% data capture<br>2013 = 28.6 ug/m3 with 100% data capture<br>2014 = 31.2 ug/m3 with 92% data capture<br>2015 = 26.1 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3928894,50.925512,8 The Broadway,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 442767 114184<br><br>2012 = Location established<br>2013 = 50.8 ug/m3 with 33% data capture<br>2014 = 57.2 ug/m3 with 75% data capture<br>2015 = 32.3 ug/m3 with 91% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4100413,50.9351885,44B Burgess Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 441552 115247<br><br>2010 = Location established<br>2011 = 28.5 ug/m3 with 91% data capture<br>2012 = 33.1 ug/m3 with 100% data capture<br>2013 = 34.3 ug/m3 with 92% data capture<br>2014 = 36.1 ug/m3 with 100% data capture<br>2015 = 32.5 ug/m3 with 91% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4080017,50.9355308,64 Burgess Road 1,"Nitrogen Dioxide Diffusion Tube Operational<br><br>3 metres from the kerb<br>Receptor is 3 metres from the kerb<br><br>Grid reference 441,675 - 115,279<br><br>2009 = location established<br>2010 = 32.3 ug/m3 with 67% data capture<br>2011 = 32.1 ug/m3 with 100% data capture<br>2012 = 32 ug/m3 with 100% data capture<br>2013 = 33.3 ug/m3 with 100% data capture<br>2014 = 33.3 ug/m3 with 83% data capture<br>2015 = 29.8 ug/m3 with 83% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3962743,50.8971065,Canute Road (South Western House),"Nitrogen Dioxide Diffusion Tube Operational<br><br>3.1 metres from the kerb<br>Receptor is 3.1 metres from the kerb<br><br>Grid reference 442,553 - 111,021<br><br>2007 = location established<br>2008 = 35.7 ug/m3 with 100% data capture<br>2009 = 35.5 ug/m3 with 100% data capture<br>2010 = 35 ug/m3 with 100% data capture<br>2011 = 32.4 ug/m3 with 100% data capture<br>2012 = 34.3 ug/m3 with 100% data capture<br>2013 = 35.7 ug/m3 with 100% data capture<br>2014 = 32 ug/m3 with 92% data capture<br>2015 = 28.8 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3939676,50.8970779,6-9 Canute Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>4 metres from the kerb<br>Receptor is 4 metres from the kerb<br><br>Grid reference 442,555 - 111,021<br><br>2002 = location established<br>2003 = 42.7 ug/m3 with 50% data capture<br>2004 = 35.4 ug/m3 with 83% data capture<br>2005 = 38.7 ug/m3 with 100% data capture<br>2006 = 32.5 ug/m3 with 92% data capture<br>2007 = 36.5 ug/m3 with 100% data capture<br>2008 = 42.6 ug/m3 with 67% data capture<br>2009 = 47.5 ugm/3 with 100% data capture<br>2010 = 45.8 ug/m3 with 100% data capture<br>2011 = 41.6 ug/m3 with 91% data capture<br>2012 = 41.5 ug/m3 with 100% data capture<br>2013 = 44.8 ug/m3 with 100% data capture<br>2014 = 43.8 ug/m3 with 100% data capture<br>2015 = 38 ug/m3 with 91% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3975112,50.8968974,100 Canute Road (Union Castle House 2),"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 442461 110996<br><br>2013 = Location established <br>2014 = 43.8 ug/m3 with 42% data capture<br>2015 = 38.7 ug/m3 with 83% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.409236,50.908934,5 Commercial Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>2 metres from the kerb<br>Receptor is 4 metres from the kerb<br><br>Grid reference 441,629 - 112,332<br><br>2003 = location established<br>2004 = 40.5 ug/m3 with 75% data capture<br>2005 = 43.52 ug/m3 with 100% data capture<br>2006 = 41.9 ug/m3 with 83% data capture<br>2007 = 44.5 ug/m3 with 100% data capture<br>2008 = 45.3 ug/m3 with 100% data capture<br>2009 = 47 ug/m3 with 83% data capture<br>2010 = 50.4 ug/m3 with 100% data capture<br>2011 = 47 ug/m3 with 100% data capture<br>2012 = 43.5 ug/m3 with 100% data capture<br>2013 = 50.1 ug/m3 with 100% data capture<br>2014 = 55.6 ug/m3 with 100% data capture<br>2015 = 49.6 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4703271,50.9229651,Coniston Road,"Nitrogen Dioxide Diffusion Tube Operational (Highways Agency)<br><br>15 metres from the kerb/M271 and Redbridge Roundabout<br>Receptor is 14 metres from the kerb (behind acoustic fence)<br><br>Grid reference 437,325 - 113,860<br><br>2006 = location established<br>2007 = 43.9 ug/m3 with 100% data capture<br>2008 = 34.1 ug/m3 with 100% data capture<br>2009 = 36.3 ug/m3 with 92% data capture<br>2010 = 34 ug/m3 with 83% data capture<br>2011 = 37.7 ug/m3 with 66% data capture<br>2012 = 35.5 ug/m3 with 91% data capture<br>2013 = 31.9 ug/m3 with 75% data capture<br>2014 = 37.7 ug/m3 with 100% data capture<br>2015 = 31.2 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3986612,50.9140021,Cranbury Place,"Nitrogen Dioxide Diffusion Tube Operational<br><br>2 metres from the kerb<br>Receptor 2.5 metres from the kerb<br><br>Grid reference 442,367 - 112,896<br><br>2001 = location established<br>2002 = 51.8 ug/m3 (no data for data capture)<br>2003 = 53.5 ug/m3 with 92% data capture<br>2004 = 49.5 ug/m3 with 100% data capture<br>2005 = 50.48 ug/m3 with 92% data capture<br>2006 = 52.9 ug/m3 with 100% data capture<br>2007 = 57.3 ug/m3 with 91% data capture<br>2008 = 61.6 ug/m3 with 100% data capture<br>2009 = 57.8 ug/m3 with 100% data capture<br>2010 = 48.9 ug/m3 with 92% data capture<br>2011 = 49.8 ug/m3 with 100% data capture<br>2012 = 51.2 ug/m3 with 83% data capture<br>2013 = 51 ug/m3 with 92% data capture<br>2014 = 50.5 ug/m3 with 92% data capture<br>2015 = 53.7 ug/m3 with 83% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4008801,50.9139629,2 Dorset Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 442218 112890<br><br>2012 = Location established<br>2013 = 33.7 ug/m3 with 83% data capture<br>2014 = 32 ug/m3 with 100% data capture<br>2015 = 32.6 ug/m3 with 91% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4711823,50.9228145,2 Gover Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 437182 113765<br><br>2014 = Location established<br>2015 = 27.9 ug/m3 with 33% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4702823,50.9228884,M271,"Nitrogen Dioxide Diffusion Tube Operational (Highways Agency)<br><br>3 metres from the kerb placed on the post<br>Receptor is 10 metres from the kerb<br><br>Grid reference 437,353 - 113,875<br><br>2006 = location established<br>2007 = 47.3 ug/m3 with 100% data capture<br>2008 = 58.4 with 100% data capture<br>2009 = 53.9 ug/m3 with 100% data capture<br>2010 =  54 ug/m3 with 83% data capture<br>2011 = 54.1 ug/m3 with 75% data capture<br>2012 = 59.7 ug/m3 with 100% data capture<br>2013 = 58.4 ug/m3 with 100% data capture<br>2014 = 56.9 ug/m3 with 92% data capture<br>2015 = 49.1 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.436097,50.9128682,305 Millbrook Road (House),"Nitrogen Dioxide Diffusion Tube Operational<br><br>10 metres from the kerb<br>Receptor is 10 metres from the kerb<br><br>Grid reference 439,741 - 112,746<br><br>2005 = location established<br>2006 = 52.3 ug/m3 with 92% data capture<br>2007 = 52.7 ug/m3 with 83% data capture<br>2008 = 41.7 ug/m3 with 100% data capture<br>2009 = 43 ug/m3 with 100% data capture<br>2010 = 41.4 ug/m3 with 100% data capture<br>2011 = 39.7 with 100% data capture<br>2012 = 43.1 with 100% data capture<br>2013 = 39.9 with 100% data capture<br>2014 = 41.1 with 100% data capture<br>2015 = 37.3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4416913,50.9135008,367 Millbrook Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>9 metres from the kerb on the down pipe on front fascade <br>Receptor 9 metres from the kerb<br><br>Grid reference 439,346 - 112,821<br><br>2007 = location established <br>2008 = 46.1 ug/m3 with 75% data capture<br>2009 = 48.7 ug/m3 with 100% data capture<br>2010 = 40.7 ug/m3 with 100% data capture<br>2011 = 45.09 ug/m3 with 91% data capture<br>2012 = 47.9 ug/m3 with 100% data capture<br>2013 = 42.2 ug/m3 with 92% data capture<br>2014 = 46.6 ug/m3 with 100% data capture<br>2015 = 44.8 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4468851,50.9139066,433-435 Millbrook Road (Ladbrokes),"Nitrogen Dioxide Diffusion Tube Operational<br><br>12 metres from the kerb<br>Receptor is 12 metres from the kerb<br><br>Grid reference 438,953 - 112,866<br><br>2006 = location established<br>2007 = 46 ug/m3 with 42% data capture<br>2008 = 46.1 ug/m3 with 100% data capture<br>2009 = 43.2 ug/m3 with 100% data capture<br>2010 = 39.8 ug/m3 with 100% data capture<br>2011 = 39.8 ug/m3 with 91% data capture<br>2012 = 39.2 ug/m3 with 100% data capture<br>2013 = 41.2 ug/m3 with 92% data capture<br>2014 = 39.6 ug/m3 with 100% data capture<br>2015 = 37.6 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4493463,50.914286,485 Millbrook Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>13 metres from the kerb<br>Receptor is 13 metres from the kerb<br><br>Grid reference 438,807 - 112,908<br><br>2006 = location established<br>2007 = 38.9 ug/m3 with 16% data capture<br>2008 = 38.4 ug/m3 with 100% data capture<br>2009 = 37.4 ug/m3 with 100% data capture<br>2010 = 31.3 ug/m3 with 100% data capture<br>2011 = 33.3 ug/m3 with 100% data capture<br>2012 = 34.7 ug/m3 with 100% data capture<br>2013 = 32.3 ug/m3 with 92% data capture<br>2014 = 34.9 ug/m3 with 100% data capture<br>2015 = 31.7 ug/m3 with 100% data captured<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4521596,50.9153471,539 Millbrook Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>11 metres from the kerb<br>Receptor is 11 metres from the kerb<br><br>Grid reference 438,608 - 113,018<br><br>2006 = location established<br>2007 = 37.1 ug/m3 with 42% data capture<br>2008 = 40.1 ug/m3 with 100% data capture<br>2009 = 35.4 ug/m3 with 100% data capture<br>2010 = 31.4 ug/m3 with 100% data capture<br>2011 = 32.9 ug/m3 with 91% data capture<br>2012 = 34.5 ug/m3 with 91% data capture<br>2013 = 31.5 ug/m3 with 100% data capture<br>2014 = 32.4 ug/m3 with 100% data capture<br>2015 = 30.7 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4010855,50.9070659,4 New Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 442313 112124<br><br>2014 = Location established<br>2015 = 42.9 ug/m3 with 91% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4004353,50.907091,14 New Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 442210 112140<br><br>2011 = Location established<br>2012 = 46.2 ug/m3 with 91% data capture <br>2013 = 40.7 ug/m3 with 66% data capture <br>2014 = 50.5 ug/m3 with 17% data capture  <br>2015 = 38.1 ug/m3 with 91% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3723568,50.9297963,132 Newton Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 444211 114669<br><br>2013 = Location established <br>2014 = 23.1 ug/m3 with 33% data capture<br>2015 = 17.2 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3876284,50.9122447,208 Northam Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 443147 112709<br><br>2010 = Location established<br>2011 = 35.4 ug/m3 with 91% data capture<br>2012 = 35.6 ug/m3 with 100% data capture<br>2013 = 34.4 ug/m3 with 92% data capture<br>2014 = 33.5 ug/m3 with 100% data capture<br>2015 = 31.1 ug/m3 with 91% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3873957,50.9125346,222 Northam Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 443164 112741<br><br>2010 = Site established<br>2011 = 31.1 ug/m3 with 100% data capture<br>2012 = 31.7 ug/m3 with 100% data capture<br>2013 = 39.1 ug/m3 with 83% data capture<br>2014 = 31.1 ug/m3 with 100% data capture<br>2015 = 28.7 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.4324007,50.9117744,151 Paynes Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>14 metres from the kerb<br>Receptor is 14 metres from the kerb<br><br>Grid reference 439,998 - 112,634<br><br>2008 = location established<br>2009 = 33.8 ug/m3 with 41% data capture<br>2010 = 32.8 ug/m3 with 100% data capture<br>2011 = 33 ug/m with 100% data capture<br>2012 = 36.3 ug/m3 with 91% data capture<br>2013 = 30.4 ug/m3 with 100% data capture<br>2014 = 32.6 ug/m3 with 100% data capture<br>2015 = 31.5 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.379216,50.897917,"Portsmouth Road, Dentist","Nitrogen Dioxide Diffusion Tube Operational<br><br>3 metres from the kerb<br>Receptor is 4 metres from the kerb<br><br>Grid reference 443,751 - 111,121<br><br>2008 = location established<br>2009 = 34.3 ug/m3 with 25% data capture<br>2010 = 33.1 ug/m3 with 100% data capture<br>2011 = 31.7 ug/m3 with 83% data capture<br>2012 = 34 ug/m3 with 91% data capture<br>2013 = 33.6 ug/m3 with 100% data capture<br>2014 = 31.9 ug/m3 with 83% data capture<br>2015 = Missing Data<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
